probeID,CpG_chrm,CpG_beg,CpG_end,probe_strand,CpG_sites_hg19,CHR,Probe_SNPs,gene,TSS_position,UCSC_CpG_Islands_Name,Feature_Type,signature
cg25558103,chr17,42835858,42835860,+,17:42835859,17,,ADAM11,TSS1500,chr17:42835776-42836242,Island,Hyper.MS3
cg25564800,chr3,122234133,122234135,-,3:122234134,3,,KPNA1,TSS1500,chr3:122233408-122233944,S_Shore,Hypo.MS5
cg25565203,chr5,56989226,56989228,+,5:56989227,5,,,,,,Hypo.MS2
cg25577367,chr11,123676978,123676980,-,11:123676979,11,,OR6M1,1stExon,,,Hypo.MS2
cg25581222,chr15,64539238,64539240,+,15:64539239,15,,CSNK1G1,Body,,,Hypo.MS1
cg25585712,chr4,41869212,41869214,+,4:41869213,4,,,,chr4:41869174-41869459,Island,Hyper.MS1
cg25588844,chr2,10037560,10037562,-,2:10037561,2,,TAF1B,Body,,,Hypo.MS1
cg25592413,chr5,172753645,172753647,-,5:172753646,5,rs77127337,STC2,Body,chr5:172754056-172757098,N_Shore,Hypo.MS3
cg25595388,chr5,2684003,2684005,+,5:2684004,5,,,,,,Hypo.MS7
cg25596287,chr1,28843735,28843737,-,1:28843736,1,rs12239131,SNHG3-RCC1,5'UTR,chr1:28844653-28845293,N_Shore,Hypo.MS2
cg25596287,chr1,28843735,28843737,-,1:28843736,1,rs12239131,SNHG3-RCC1,Body,chr1:28844653-28845293,N_Shore,Hypo.MS2
cg25596287,chr1,28843735,28843737,-,1:28843736,1,rs12239131,RCC1,TSS1500,chr1:28844653-28845293,N_Shore,Hypo.MS2
cg25597535,chr7,31379819,31379821,-,7:31379820,7,rs77384970,NEUROD6,5'UTR,chr7:31375845-31376542,S_Shelf,Hypo.MS2
cg25597797,chr19,3589761,3589763,+,19:3589762,19,,GIPC3,Body,chr19:3585357-3585947,S_Shelf,Hypo.MS2
cg25603636,chr5,140613997,140613999,-,5:140613998,5,rs2907309,PCDHB18,Body,chr5:140615391-140616353,N_Shore,Hyper.MS3
cg25605243,chr15,28212966,28212968,-,15:28212967,15,,OCA2,Body,,,Hypo.MS4
cg25623035,chr1,176177165,176177167,-,1:176177166,1,,RFWD2,TSS1500,chr1:176175711-176176811,S_Shore,Hypo.MS2
cg25623524,chr19,58862062,58862064,-,19:58862063,19,rs78109376,NCRNA00181,TSS1500,chr19:58861341-58862406,Island,Hyper.MS2
cg25623524,chr19,58862062,58862064,-,19:58862063,19,rs78109376,A1BG,Body,chr19:58861341-58862406,Island,Hyper.MS2
cg25626375,chr8,133072268,133072270,+,8:133072269,8,,OC90,TSS1500,,,Hypo.MS6
cg25629905,chr12,26273007,26273009,-,12:26273008,12,,BHLHE41,3'UTR,chr12:26275049-26275878,N_Shelf,Hypo.MS4
cg25630380,chr1,156784868,156784870,+,1:156784869,1,,NTRK1,TSS1500,chr1:156783523-156784037,S_Shore,Hypo.MS1
cg25630380,chr1,156784868,156784870,+,1:156784869,1,,SH2D2A,Body,chr1:156783523-156784037,S_Shore,Hypo.MS1
cg25631489,chr3,169900019,169900021,+,3:169900020,3,,PHC3,TSS1500,chr3:169898946-169899626,S_Shore,Hypo.MS5
cg25640096,chr6,1374512,1374514,+,6:1374513,6,,,,chr6:1378445-1379318,N_Shelf,Hypo.MS6
cg25641145,chr8,101572365,101572367,+,8:101572366,8,,ANKRD46,TSS1500,chr8:101571515-101572104,S_Shore,Hypo.MS2
cg25645064,chr3,147096129,147096131,-,3:147096130,3,,,,,,Hyper.MS1
cg25648436,chr19,58554526,58554528,+,19:58554527,19,,ZSCAN1,Body,chr19:58554354-58554587,Island,Hyper.MS1
cg25649641,chr15,76635356,76635358,-,15:76635357,15,,,,chr15:76632262-76635515,Island,Hyper.MS3
cg25651783,chr1,155265032,155265034,-,1:155265033,1,,PKLR,Body,chr1:155264318-155265536,Island,Hyper.MS2
cg25657713,chr6,100038707,100038709,-,6:100038708,6,,,,chr6:100038655-100039477,Island,Hyper.MS1
cg25668093,chr15,95399278,95399280,-,15:95399279,15,rs12591416,,,chr15:95398742-95400029,Island,Hypo.MS7
cg25678088,chr7,96632459,96632461,+,7:96632460,7,,DLX6AS,Body,chr7:96631383-96631800,S_Shore,Hyper.MS3
cg25683811,chr6,170397068,170397070,+,6:170397069,6,,,,,,Hypo.MS3
cg25690589,chr15,60285477,60285479,+,15:60285478,15,,,,chr15:60287107-60287663,N_Shore,Hyper.MS2
cg25691167,chr7,19184960,19184962,-,7:19184961,7,,FERD3L,1stExon,chr7:19184818-19185033,Island,Hyper.MS1
cg25702651,chr3,192675514,192675516,+,3:192675515,3,,,,,,Hypo.MS7
cg25714147,chr2,137747981,137747983,+,2:137747982,2,,THSD7B,TSS1500,,,Hypo.MS4
cg25716102,chr2,59156509,59156511,-,2:59156510,2,,,,,,Hypo.MS7
cg25718342,chr12,112074157,112074159,+,12:112074158,12,,,,,,Hyper.MS2
cg25720804,chr5,170736388,170736390,-,5:170736389,5,,TLX3,1stExon,chr5:170735169-170739863,Island,Hyper.MS3
cg25720825,chr1,2849681,2849683,-,1:2849682,1,,,,chr1:2850665-2850873,N_Shore,Hypo.MS2
cg25724842,chr6,163574563,163574565,-,6:163574564,6,,PACRG,Body,chr6:163570162-163570814,S_Shelf,Hypo.MS6
cg25730098,chr19,56346627,56346629,-,19:56346628,19,,NLRP11,5'UTR,,,Hypo.MS2
cg25730098,chr19,56346627,56346629,-,19:56346628,19,,NLRP4,TSS1500,,,Hypo.MS2
cg25730428,chr6,29454754,29454756,-,6:29454755,6,,MAS1L,1stExon,,,Hypo.MS1
cg25731261,chr19,47736017,47736019,-,19:47736018,19,,BBC3,5'UTR,chr19:47733884-47734806,S_Shore,Hypo.MS1
cg25731261,chr19,47736017,47736019,-,19:47736018,19,,BBC3,1stExon,chr19:47733884-47734806,S_Shore,Hypo.MS1
cg25738340,chr17,77174961,77174963,+,17:77174962,17,,HRNBP3,5'UTR,chr17:77178828-77180229,N_Shelf,Hypo.MS6
cg25740565,chr2,200335100,200335102,+,2:200335101,2,,FLJ32063,Body,chr2:200335497-200336413,N_Shore,Hyper.MS2
cg25742326,chr1,901448,901450,+,1:901449,1,,PLEKHN1,TSS1500,chr1:894313-902654,Island,Hypo.MS1
cg25743622,chr1,223403445,223403447,+,1:223403446,1,rs75789805,SUSD4,Body,,,Hypo.MS7
cg25747670,chr1,115722329,115722331,+,1:115722330,1,,,,,,Hypo.MS1
cg25748764,chr20,31261813,31261815,-,20:31261814,20,,LOC284805,TSS200,,,Hypo.MS2
cg25755575,chr1,217311530,217311532,-,1:217311531,1,,ESRRG,TSS1500,chr1:217311467-217311773,Island,Hyper.MS1
cg25755851,chr1,9335793,9335795,-,1:9335794,1,,,,,,Hypo.MS2
cg25756406,chr10,134597883,134597885,+,10:134597884,10,,,,chr10:134597357-134602649,Island,Hyper.MS2
cg25757115,chr1,46913786,46913788,-,1:46913787,1,,,,chr1:46913786-46914343,Island,Hyper.MS3
cg25757598,chr8,85097194,85097196,+,8:85097195,8,,RALYL,1stExon,chr8:85096759-85097247,Island,Hyper.MS3
cg25757598,chr8,85097194,85097196,+,8:85097195,8,,RALYL,5'UTR,chr8:85096759-85097247,Island,Hyper.MS3
cg25761955,chr20,61679121,61679123,+,20:61679122,20,,,,chr20:61675075-61675817,S_Shelf,Hypo.MS6
cg25763393,chr19,52956831,52956833,+,19:52956832,19,,ZNF578,1stExon,chr19:52956656-52957245,Island,Hyper.MS1
cg25763393,chr19,52956831,52956833,+,19:52956832,19,,ZNF578,5'UTR,chr19:52956656-52957245,Island,Hyper.MS1
cg25773262,chr1,156616854,156616856,-,1:156616855,1,rs17850453,BCAN,Body,chr1:156616553-156616946,Island,Hyper.MS3
cg25774643,chr11,627174,627176,+,11:627175,11,,SCT,TSS200,chr11:626728-628037,Island,Hyper.MS2
cg25775494,chr6,108490894,108490896,-,6:108490895,6,,NR2E1,Body,chr6:108491033-108491410,N_Shore,Hyper.MS1
cg25784280,chr18,32289349,32289351,-,18:32289350,18,,DTNA,TSS1500,,,Hypo.MS1
cg25784280,chr18,32289349,32289351,-,18:32289350,18,,DTNA,5'UTR,,,Hypo.MS1
cg25791578,chr3,3134186,3134188,+,3:3134187,3,,IL5RA,Body,,,Hypo.MS7
cg25792518,chr17,48545949,48545951,+,17:48545950,17,,ACSF2,Body,chr17:48545570-48546900,Island,Hyper.MS2
cg25792518,chr17,48545949,48545951,+,17:48545950,17,,CHAD,1stExon,chr17:48545570-48546900,Island,Hyper.MS2
cg25799109,chr3,57102899,57102901,-,3:57102900,3,rs35984791,SPATA12,5'UTR,,,Hypo.MS1
cg25799109,chr3,57102899,57102901,-,3:57102900,3,rs35984791,ARHGEF3,5'UTR,,,Hypo.MS1
cg25800765,chr12,85673346,85673348,-,12:85673347,12,,ALX1,TSS1500,chr12:85673878-85674700,N_Shore,Hyper.MS1
cg25806932,chr2,4051986,4051988,+,2:4051987,2,,,,chr2:4050649-4050852,S_Shore,Hypo.MS3
cg25817165,chr18,72167212,72167214,+,18:72167213,18,,CNDP2,Body,chr18:72162935-72164039,S_Shelf,Hypo.MS2
cg25817165,chr18,72167212,72167214,+,18:72167213,18,,CNDP2,1stExon,chr18:72162935-72164039,S_Shelf,Hypo.MS2
cg25820728,chr7,1684705,1684707,-,7:1684706,7,,,,chr7:1686716-1687008,N_Shelf,Hypo.MS5
cg25825506,chr7,96626658,96626660,+,7:96626659,7,,DLX6AS,Body,,,Hyper.MS1
cg25829531,chr20,2648593,2648595,-,20:2648594,20,,,,chr20:2644561-2644901,S_Shelf,Hypo.MS4
cg25839439,chr1,19764479,19764481,-,1:19764480,1,rs10158489,CAPZB,Body,,,Hyper.MS2
cg25840354,chr4,38784157,38784159,-,4:38784158,4,rs28613877,TLR10,5'UTR,,,Hypo.MS5
cg25851789,chr1,217309793,217309795,+,1:217309794,1,,ESRRG,5'UTR,chr1:217310749-217311178,N_Shore,Hyper.MS1
cg25855592,chr4,1496292,1496294,-,4:1496293,4,,,,chr4:1494542-1494753,S_Shore,Hypo.MS2
cg25856811,chr1,152973956,152973958,+,1:152973957,1,,SPRR3,TSS1500,,,Hypo.MS4
cg25861169,chr15,77927357,77927359,-,15:77927358,15,,,,chr15:77927041-77927362,Island,Hyper.MS1
cg25874782,chr8,59508473,59508475,-,8:59508474,8,,NSMAF,Body,,,Hypo.MS1
cg25881804,chr20,21081900,21081902,+,20:21081901,20,,,,chr20:21080929-21082824,Island,Hyper.MS1
cg25883348,chr2,234883861,234883863,-,2:234883862,2,,TRPM8,Body,,,Hypo.MS1
cg25884711,chr7,24323839,24323841,-,7:24323840,7,rs2390965,NPY,1stExon,chr7:24323558-24325080,Island,Hyper.MS3
cg25884711,chr7,24323839,24323841,-,7:24323840,7,rs2390965,NPY,5'UTR,chr7:24323558-24325080,Island,Hyper.MS3
cg25901559,chr7,157585254,157585256,-,7:157585255,7,rs73504502,PTPRN2,Body,chr7:157586711-157587112,N_Shore,Hypo.MS2
cg25902889,chr19,4305089,4305091,-,19:4305090,19,,FSD1,Body,chr19:4304542-4305122,Island,Hyper.MS2
cg25911551,chr4,144266240,144266242,-,4:144266241,4,,GAB1,Body,,,Hyper.MS2
cg25918833,chr11,4718961,4718963,-,11:4718962,11,,OR51E2,5'UTR,,,Hypo.MS5
cg25918833,chr11,4718961,4718963,-,11:4718962,11,,OR51E2,1stExon,,,Hypo.MS5
cg25921502,chr10,50363895,50363897,+,10:50363896,10,,C10orf128,3'UTR,,,Hypo.MS5
cg25923609,chr5,3607091,3607093,+,5:3607092,5,,,,chr5:3606488-3607135,Island,Hyper.MS2
cg25928474,chr17,48716300,48716302,-,17:48716301,17,rs60300548,ABCC3,Body,chr17:48712050-48712705,S_Shelf,Hypo.MS1
cg25937451,chr21,46001679,46001681,-,21:46001680,21,,C21orf29,Body,,,Hypo.MS7
cg25937451,chr21,46001679,46001681,-,21:46001680,21,,KRTAP10-5,TSS1500,,,Hypo.MS7
cg25941151,chr11,88910912,88910914,-,11:88910913,11,rs1799989,TYR,TSS200,,,Hypo.MS6
cg25942450,chr5,170736250,170736252,+,5:170736251,5,,TLX3,TSS200,chr5:170735169-170739863,Island,Hyper.MS1
cg25944717,chr5,180648842,180648844,-,5:180648843,5,,TRIM41,TSS1500,chr5:180649487-180649768,N_Shore,Hypo.MS1
cg25948831,chr17,78038001,78038003,+,17:78038002,17,,CCDC40,Body,chr17:78039291-78039547,N_Shore,Hypo.MS1
cg25950278,chr12,49388411,49388413,-,12:49388412,12,,,,chr12:49390617-49392441,N_Shelf,Hyper.MS1
cg25951075,chr5,179528385,179528387,-,5:179528386,5,,RASGEF1C,3'UTR,,,Hypo.MS5
cg25952192,chr18,21656373,21656375,-,18:21656374,18,,TTC39C,Body,,,Hypo.MS2
cg25953788,chr12,48962955,48962957,+,12:48962956,12,,LALBA,Body,,,Hypo.MS2
cg25955692,chr8,1462902,1462904,-,8:1462903,8,,DLGAP2,5'UTR,,,Hypo.MS3
cg25960769,chr6,41169810,41169812,-,6:41169811,6,,TREML2,TSS1500,,,Hypo.MS7
cg25962699,chr3,170332443,170332445,-,3:170332444,3,rs11920594,,,,,Hypo.MS1
cg25965471,chr6,43211234,43211236,+,6:43211235,6,,TTBK1,1stExon,chr6:43211114-43211345,Island,Hyper.MS3
cg25965471,chr6,43211234,43211236,+,6:43211235,6,,TTBK1,5'UTR,chr6:43211114-43211345,Island,Hyper.MS3
cg25967031,chr7,27171202,27171204,-,7:27171203,7,,HOXA4,TSS1500,chr7:27169572-27170638,S_Shore,Hyper.MS2
cg25968569,chr13,77461334,77461336,-,13:77461335,13,,KCTD12,TSS1500,chr13:77459322-77461099,S_Shore,Hyper.MS1
cg25969122,chr11,119630361,119630363,-,11:119630362,11,rs10892452,,,,,Hypo.MS3
cg25976440,chr4,69239480,69239482,-,4:69239481,4,,,,,,Hyper.MS1
cg25984671,chr20,591082,591084,-,20:591083,20,rs45437895,TCF15,TSS200,chr20:590222-591222,Island,Hyper.MS1
cg25985721,chr8,143645671,143645673,-,8:143645672,8,,,,chr8:143645072-143645673,Island,Hypo.MS7
cg25992016,chr13,77387017,77387019,+,13:77387018,13,,,,,,Hypo.MS6
cg25995212,chr2,167342983,167342985,+,2:167342984,2,,SCN7A,5'UTR,,,Hypo.MS2
cg25996077,chr2,228331318,228331320,+,2:228331319,2,,,,,,Hypo.MS6
cg25996388,chr19,17015743,17015745,-,19:17015744,19,,CPAMD8,Body,,,Hypo.MS3
cg26001902,chr2,108602978,108602980,-,2:108602979,2,,SLC5A7,TSS200,chr2:108602824-108603467,Island,Hyper.MS3
cg26014409,chr1,158324470,158324472,+,1:158324471,1,,CD1E,Body,,,Hypo.MS6
cg26020982,chr1,152196105,152196107,+,1:152196106,1,,HRNR,5'UTR,,,Hypo.MS6
cg26023912,chr7,27184368,27184370,-,7:27184369,7,,HOXA5,TSS1500,chr7:27182613-27185562,Island,Hyper.MS2
cg26024682,chr11,43581107,43581109,-,11:43581108,11,,MIR670,TSS200,,,Hypo.MS6
cg26026598,chr1,181142291,181142293,-,1:181142292,1,,,,,,Hypo.MS4
cg26028371,chr18,76163006,76163008,-,18:76163007,18,rs61186848,,,chr18:76160173-76160444,S_Shelf,Hypo.MS4
cg26047066,chr1,221069135,221069137,+,1:221069136,1,,,,chr1:221068782-221069159,Island,Hyper.MS3
cg26053291,chr2,89064630,89064632,+,2:89064631,2,rs34513596,FLJ40330,TSS1500,chr2:89064493-89065513,Island,Hyper.MS2
cg26055950,chr1,3600851,3600853,+,1:3600852,1,,TP73,Body,,,Hyper.MS2
cg26060835,chr21,19258309,19258311,+,21:19258310,21,,NCRNA00157,TSS1500,,,Hypo.MS4
cg26070020,chr1,165201384,165201386,-,1:165201385,1,,LMX1A,Body,chr1:165204501-165205507,N_Shelf,Hypo.MS1
cg26070333,chr10,112484690,112484692,+,10:112484691,10,,RBM20,Body,,,Hypo.MS7
cg26070865,chr5,959140,959142,-,5:959141,5,,,,chr5:958785-959172,Island,Hypo.MS5
cg26074025,chr14,89467056,89467058,-,14:89467057,14,,,,,,Hypo.MS3
cg26074603,chr12,75603067,75603069,+,12:75603068,12,,KCNC2,5'UTR,chr12:75602991-75603344,Island,Hyper.MS1
cg26074603,chr12,75603067,75603069,+,12:75603068,12,,KCNC2,1stExon,chr12:75602991-75603344,Island,Hyper.MS1
cg26081584,chr12,40938570,40938572,+,12:40938571,12,,,,,,Hypo.MS7
cg26081974,chr13,114065896,114065898,-,13:114065897,13,,,,chr13:114066946-114067488,N_Shore,Hypo.MS1
cg26082814,chr13,114065776,114065778,+,13:114065777,13,,,,chr13:114066946-114067488,N_Shore,Hypo.MS1
cg26086902,chr17,10204250,10204252,+,17:10204251,17,,MYH13,3'UTR,,,Hypo.MS3
cg26090107,chr11,60718881,60718883,+,11:60718882,11,,SLC15A3,Body,chr11:60718428-60718888,Island,Hyper.MS3
cg26090107,chr11,60718881,60718883,+,11:60718882,11,,SLC15A3,1stExon,chr11:60718428-60718888,Island,Hyper.MS3
cg26092675,chr6,26225257,26225259,+,6:26225258,6,,HIST1H3E,TSS200,chr6:26225386-26225790,N_Shore,Hyper.MS2
cg26094484,chr10,133318754,133318756,+,10:133318755,10,,,,chr10:133318028-133318324,S_Shore,Hypo.MS4
cg26095658,chr2,71017886,71017888,-,2:71017887,2,,FIGLA,TSS200,chr2:71017028-71017976,Island,Hyper.MS1
cg26098117,chr6,125803001,125803003,+,6:125803002,6,,,,,,Hypo.MS2
cg26099834,chr15,66947567,66947569,+,15:66947568,15,,,,chr15:66947360-66947574,Island,Hyper.MS2
cg26106948,chr3,27766283,27766285,+,3:27766284,3,,,,chr3:27765196-27765675,S_Shore,Hyper.MS3
cg26113233,chr5,174673621,174673623,-,5:174673622,5,,,,,,Hypo.MS3
cg26115633,chr10,129535892,129535894,-,10:129535893,10,,FOXI2,1stExon,chr10:129534410-129537366,Island,Hyper.MS3
cg26123647,chr2,2195398,2195400,-,2:2195399,2,,MYT1L,5'UTR,chr2:2193510-2193716,S_Shore,Hypo.MS2
cg26129108,chr9,134698925,134698927,+,9:134698926,9,,,,chr9:134699141-134699523,N_Shore,Hypo.MS3
cg26129110,chr5,7619982,7619984,-,5:7619983,5,,ADCY2,Body,,,Hypo.MS7
cg26130488,chr17,59530103,59530105,+,17:59530104,17,,,,chr17:59528979-59530266,Island,Hyper.MS1
cg26131286,chr6,29521782,29521784,-,6:29521783,6,rs61730333,,,chr6:29521110-29521833,Island,Hyper.MS1
cg26132320,chr20,44640352,44640354,-,20:44640353,20,rs3918254,MMP9,Body,chr20:44640288-44641210,Island,Hyper.MS1
cg26132774,chr13,79170145,79170147,+,13:79170146,13,,,,chr13:79170114-79171231,Island,Hyper.MS1
cg26140475,chr8,126525557,126525559,+,8:126525558,8,,,,,,Hypo.MS3
cg26142965,chr6,29521802,29521804,-,6:29521803,6,rs61734862,,,chr6:29521110-29521833,Island,Hyper.MS1
cg26147279,chr3,13977885,13977887,-,3:13977886,3,,TPRXL,TSS1500,chr3:13974400-13974867,S_Shelf,Hypo.MS4
cg26151467,chr13,112724220,112724222,+,13:112724221,13,,SOX1,3'UTR,chr13:112720564-112723582,S_Shore,Hyper.MS1
cg26151467,chr13,112724220,112724222,+,13:112724221,13,,SOX1,1stExon,chr13:112720564-112723582,S_Shore,Hyper.MS1
cg26153054,chr2,132152813,132152815,+,2:132152814,2,,,,chr2:132152766-132153044,Island,Hyper.MS1
cg26153353,chr1,3120515,3120517,-,1:3120516,1,,PRDM16,Body,,,Hypo.MS5
cg26157385,chr1,248020640,248020642,-,1:248020641,1,,TRIM58,1stExon,chr1:248020330-248021252,Island,Hyper.MS3
cg26159860,chr11,133469192,133469194,-,11:133469193,11,,,,,,Hypo.MS2
cg26165286,chr1,224958212,224958214,-,1:224958213,1,,,,,,Hypo.MS2
cg26168772,chr14,52739255,52739257,-,14:52739256,14,,PTGDR,Body,chr14:52734207-52735486,S_Shelf,Hypo.MS2
cg26170244,chr15,65176352,65176354,-,15:65176353,15,,,,,,Hypo.MS3
cg26174326,chr6,26016673,26016675,-,6:26016674,6,,,,chr6:26020671-26021125,N_Shelf,Hyper.MS2
cg26175448,chr17,39072166,39072168,-,17:39072167,17,,,,,,Hypo.MS1
cg26175846,chr6,32972491,32972493,-,6:32972492,6,,HLA-DOA,3'UTR,chr6:32975684-32975926,N_Shelf,Hypo.MS4
cg26186239,chr20,62119491,62119493,+,20:62119492,20,,EEF1A2,3'UTR,chr20:62119198-62120620,Island,Hyper.MS1
cg26188212,chr1,228967123,228967125,-,1:228967124,1,rs76619581,,,,,Hypo.MS3
cg26189213,chr11,3361415,3361417,-,11:3361416,11,rs75760656,,,,,Hypo.MS1
cg26192309,chr1,211765567,211765569,-,1:211765568,1,rs79209310,,,,,Hypo.MS1
cg26194251,chr13,46402507,46402509,-,13:46402508,13,,SIAH3,Body,,,Hypo.MS7
cg26196124,chr11,49877976,49877978,-,11:49877977,11,,,,chr11:49873117-49874152,S_Shelf,Hypo.MS4
cg26199241,chr17,59529485,59529487,-,17:59529486,17,,,,chr17:59528979-59530266,Island,Hyper.MS3
cg26200585,chr19,40919244,40919246,-,19:40919245,19,,PRX,5'UTR,,,Hyper.MS2
cg26200585,chr19,40919244,40919246,-,19:40919245,19,,PRX,1stExon,,,Hyper.MS2
cg26201596,chr10,766040,766042,-,10:766041,10,rs12254288,,,,,Hypo.MS2
cg26205771,chr8,53851155,53851157,+,8:53851156,8,,NPBWR1,TSS1500,chr8:53851701-53854426,N_Shore,Hyper.MS3
cg26210364,chr11,26800134,26800136,+,11:26800135,11,,,,,,Hypo.MS1
cg26213458,chr12,5918190,5918192,+,12:5918191,12,,ANO2,Body,,,Hypo.MS3
cg26214742,chr5,134735913,134735915,-,5:134735914,5,rs13162936,H2AFY,TSS1500,chr5:134734096-134735261,S_Shore,Hyper.MS2
cg26219233,chr5,169656746,169656748,-,5:169656747,5,,,,chr5:169659830-169660229,N_Shelf,Hypo.MS7
cg26232553,chr8,101471096,101471098,-,8:101471097,8,rs7817348,,,,,Hypo.MS1
cg26236177,chr14,61110648,61110650,-,14:61110649,14,,,,chr14:61108954-61109786,S_Shore,Hyper.MS1
cg26246880,chr1,158900548,158900550,+,1:158900549,1,,PYHIN1,TSS1500,,,Hypo.MS2
cg26248646,chr12,34501299,34501301,-,12:34501300,12,,,,chr12:34500550-34500814,S_Shore,Hypo.MS2
cg26251098,chr11,131319615,131319617,+,11:131319616,11,,NTM,Body,,,Hypo.MS4
cg26253500,chr7,136641739,136641741,+,7:136641740,7,,CHRM2,5'UTR,,,Hypo.MS3
cg26256263,chr1,25258145,25258147,-,1:25258146,1,rs35791642,RUNX3,TSS1500,chr1:25255527-25259005,Island,Hyper.MS1
cg26256263,chr1,25258145,25258147,-,1:25258146,1,rs35791642,RUNX3,Body,chr1:25255527-25259005,Island,Hyper.MS1
cg26256521,chr14,105147536,105147538,-,14:105147537,14,,,,chr14:105144247-105144503,S_Shelf,Hypo.MS1
cg26276327,chr1,247511468,247511470,-,1:247511469,1,rs4925625,,,,,Hyper.MS3
cg26277556,chr14,54507222,54507224,-,14:54507223,14,,,,,,Hypo.MS7
cg26277754,chr5,50673032,50673034,+,5:50673033,5,,,,,,Hyper.MS2
cg26279070,chr2,130971342,130971344,-,2:130971343,2,,,,chr2:130970933-130971242,S_Shore,Hyper.MS1
cg26282283,chr7,2704367,2704369,-,7:2704368,7,,TTYH3,3'UTR,chr7:2701330-2701744,S_Shelf,Hypo.MS2
cg26282761,chr10,128193218,128193220,+,10:128193219,10,,C10orf90,Body,chr10:128193311-128193531,N_Shore,Hypo.MS2
cg26286365,chr14,104648346,104648348,-,14:104648347,14,,,,chr14:104645957-104646478,S_Shore,Hypo.MS3
cg26289436,chr19,49841516,49841518,-,19:49841517,19,,CD37,Body,chr19:49841187-49841628,Island,Hyper.MS2
cg26289788,chr3,8818055,8818057,-,3:8818056,3,,,,,,Hypo.MS3
cg26291600,chr10,45923704,45923706,+,10:45923705,10,,ALOX5,Body,chr10:45922831-45923375,S_Shore,Hyper.MS2
cg26296488,chr4,9783191,9783193,+,4:9783192,4,,DRD5,TSS200,chr4:9783035-9784960,Island,Hyper.MS1
cg26299169,chr13,28498955,28498957,-,13:28498956,13,,PDX1,3'UTR,chr13:28498226-28499046,Island,Hyper.MS1
cg26306893,chr20,37074907,37074909,-,20:37074908,20,,SNHG11,TSS1500,chr20:37075227-37075854,N_Shore,Hypo.MS6
cg26311804,chr11,133155302,133155304,-,11:133155303,11,,OPCML,Body,,,Hypo.MS4
cg26312888,chr14,101875603,101875605,+,14:101875604,14,,,,,,Hypo.MS7
cg26312920,chr7,31380389,31380391,+,7:31380390,7,,NEUROD6,1stExon,chr7:31375845-31376542,S_Shelf,Hypo.MS4
cg26312920,chr7,31380389,31380391,+,7:31380390,7,,NEUROD6,5'UTR,chr7:31375845-31376542,S_Shelf,Hypo.MS4
cg26321840,chr8,49241684,49241686,+,8:49241685,8,,,,,,Hypo.MS4
cg26324057,chr2,87566762,87566764,-,2:87566763,2,,,,chr2:87569197-87569617,N_Shelf,Hypo.MS7
cg26325912,chr5,97315688,97315690,-,5:97315689,5,rs4362966,,,,,Hypo.MS7
cg26327040,chr12,131561079,131561081,+,12:131561080,12,,GPR133,Body,,,Hypo.MS1
cg26327666,chr5,76937962,76937964,-,5:76937963,5,rs1465399,,,chr5:76936126-76936984,S_Shore,Hyper.MS3
cg26329274,chr5,156607852,156607854,-,5:156607853,5,,ITK,TSS200,,,Hypo.MS6
cg26330275,chr12,4549502,4549504,+,12:4549503,12,,FGF6,Body,,,Hypo.MS4
cg26330809,chr6,112620505,112620507,-,6:112620506,6,,,,,,Hypo.MS7
cg26331226,chr12,38447947,38447949,-,12:38447948,12,,,,,,Hypo.MS2
cg26332310,chr1,91182304,91182306,+,1:91182305,1,,BARHL2,1stExon,chr1:91182097-91182364,Island,Hyper.MS3
cg26333652,chr5,2750757,2750759,+,5:2750758,5,,IRX2,Body,chr5:2748368-2757024,Island,Hyper.MS2
cg26335633,chr7,64029998,64030000,-,7:64029999,7,,,,chr7:64029902-64030972,Island,Hyper.MS1
cg26342141,chr6,98373012,98373014,-,6:98373013,6,,,,,,Hypo.MS2
cg26345105,chr1,228634264,228634266,+,1:228634265,1,,,,chr1:228633382-228634127,S_Shore,Hyper.MS3
cg26346796,chr6,32054866,32054868,+,6:32054867,6,,TNXB,Body,chr6:32055067-32055601,N_Shore,Hypo.MS1
cg26347851,chr20,61754868,61754870,+,20:61754869,20,,,,chr20:61754868-61755083,Island,Hypo.MS4
cg26349048,chr11,55682098,55682100,+,11:55682099,11,,OR5W2,TSS200,,,Hypo.MS6
cg26349484,chr10,106749482,106749484,+,10:106749483,10,,SORCS3,Body,,,Hypo.MS2
cg26351132,chr17,47049889,47049891,-,17:47049890,17,,,,,,Hypo.MS2
cg26353448,chr1,248524235,248524237,-,1:248524236,1,rs1544175,OR2T4,TSS1500,,,Hypo.MS3
cg26361533,chr12,2445560,2445562,-,12:2445561,12,,CACNA1C,Body,,,Hypo.MS3
cg26361999,chr6,33969960,33969962,-,6:33969961,6,,,,,,Hyper.MS2
cg26362263,chr6,14664926,14664928,+,6:14664927,6,,,,,,Hypo.MS5
cg26365545,chr5,76932015,76932017,-,5:76932016,5,,OTP,Body,chr5:76932317-76933523,N_Shore,Hyper.MS3
cg26365925,chr3,44063314,44063316,+,3:44063315,3,,,,chr3:44063314-44063837,Island,Hyper.MS3
cg26371320,chr6,28778090,28778092,-,6:28778091,6,,,,chr6:28781857-28782302,N_Shelf,Hyper.MS3
cg26376241,chr2,65594020,65594022,+,2:65594021,2,,SPRED2,Body,,,Hypo.MS1
